SITE_ID,YEAR,tsi_crust,tsi_rot,LAT_DD83,LON_DD83,ELEVATION,COLOR,NTL,PTL,CHLA,secchi,ts_group,ts
NLA17_AR-10003,2017,68.62489666494724,55.37605735058965,33.07556,-92.6606,55,49,0.44,29.783575,14.989999999999998,1.6,chla_ts,eutro
NLA17_AR-10003,2017,68.62489666494724,55.37605735058965,33.07556,-92.6606,55,49,0.44,29.783575,14.989999999999998,1.6,ptl_ts,eutro
NLA17_AR-10003,2017,68.62489666494724,55.37605735058965,33.07556,-92.6606,55,49,0.44,29.783575,14.989999999999998,1.6,sdd_ts,eutro
NLA17_AR-10003,2017,68.62489666494724,55.37605735058965,33.07556,-92.6606,55,49,0.44,29.783575,14.989999999999998,1.6,rot_ts,eutro
NLA17_AR-10003,2017,68.62489666494724,55.37605735058965,33.07556,-92.6606,55,49,0.44,29.783575,14.989999999999998,1.6,crs_ts,hypereu
NLA17_AR-10004,2017,63.57090806484169,53.677518256254395,34.60056,-92.50011,120,32,0.535,49.02875,15.9,1.25,ncp_ts,mixo
NLA17_AR-10004,2017,63.57090806484169,53.677518256254395,34.60056,-92.50011,120,32,0.535,49.02875,15.9,1.25,chla_ts,eutro
NLA17_AR-10004,2017,63.57090806484169,53.677518256254395,34.60056,-92.50011,120,32,0.535,49.02875,15.9,1.25,ptl_ts,eutro
NLA17_AR-10004,2017,63.57090806484169,53.677518256254395,34.60056,-92.50011,120,32,0.535,49.02875,15.9,1.25,sdd_ts,eutro
NLA17_AR-10004,2017,63.57090806484169,53.677518256254395,34.60056,-92.50011,120,32,0.535,49.02875,15.9,1.25,rot_ts,meso-eutro
NLA17_AR-10004,2017,63.57090806484169,53.677518256254395,34.60056,-92.50011,120,32,0.535,49.02875,15.9,1.25,crs_ts,eutro
NLA17_AR-10014,2017,50.26525023632173,54.509418772861565,36.35088,-90.80319,78,17,0.983,142.1475,54.67,0.275,ncp_ts,eutro
NLA17_AR-10014,2017,50.26525023632173,54.509418772861565,36.35088,-90.80319,78,17,0.983,142.1475,54.67,0.275,chla_ts,eutro
NLA17_AR-10014,2017,50.26525023632173,54.509418772861565,36.35088,-90.80319,78,17,0.983,142.1475,54.67,0.275,ptl_ts,hypereu
NLA17_AR-10014,2017,50.26525023632173,54.509418772861565,36.35088,-90.80319,78,17,0.983,142.1475,54.67,0.275,sdd_ts,hypereu
NLA17_AR-10014,2017,50.26525023632173,54.509418772861565,36.35088,-90.80319,78,17,0.983,142.1475,54.67,0.275,rot_ts,meso-eutro
NLA17_AR-10014,2017,50.26525023632173,54.509418772861565,36.35088,-90.80319,78,17,0.983,142.1475,54.67,0.275,crs_ts,meso-eutro
NLA17_AR-10016,2017,60.99840789543028,52.638739356349674,34.76559,-92.11244,73,25,0.978,224.39375,26.4,0.825,ncp_ts,mixo
NLA17_AR-10016,2017,60.99840789543028,52.638739356349674,34.76559,-92.11244,73,25,0.978,224.39375,26.4,0.825,chla_ts,eutro
NLA17_AR-10016,2017,60.99840789543028,52.638739356349674,34.76559,-92.11244,73,25,0.978,224.39375,26.4,0.825,ptl_ts,hypereu
NLA17_AR-10016,2017,60.99840789543028,52.638739356349674,34.76559,-92.11244,73,25,0.978,224.39375,26.4,0.825,sdd_ts,eutro
NLA17_AR-10016,2017,60.99840789543028,52.638739356349674,34.76559,-92.11244,73,25,0.978,224.39375,26.4,0.825,rot_ts,meso-eutro
NLA17_AR-10016,2017,60.99840789543028,52.638739356349674,34.76559,-92.11244,73,25,0.978,224.39375,26.4,0.825,crs_ts,eutro
NLA17_AR-10021,2017,61.16467957857971,52.13578313605333,33.63998,-94.14226,88,40,1.834,246.03125,96.4,0.375,ncp_ts,mixo
NLA17_AR-10021,2017,61.16467957857971,52.13578313605333,33.63998,-94.14226,88,40,1.834,246.03125,96.4,0.375,chla_ts,hypereu
NLA17_AR-10021,2017,61.16467957857971,52.13578313605333,33.63998,-94.14226,88,40,1.834,246.03125,96.4,0.375,ptl_ts,hypereu
